"Step","shared_encoder_v2 - generated B distribution"
"2","{""values"":[22,6,3,9,17,14,25,38,62,81,132,186,250,342,394,511,596,669,733,796,868,866,890,957,857,1047,1368,3261,13339,42676,88347,137400,173165,180105,150857,106433,64663,35280,17662,8556,3874,1810,1013,880,800,738,733,711,712,677,640,520,442,379,324,248,197,124,100,64,38,25,19,25],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"7","{""values"":[147,179,444,984,2007,3880,7146,12348,20054,30552,43115,57378,70456,82184,89465,92023,89612,82998,73918,63592,52706,42663,33413,26021,19464,14510,10591,7882,5569,3902,2996,2100,1417,1025,607,443,277,185,139,70,45,32,12,12,5,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0,2.3283700942993164,4.656740188598633,6.985110282897949,9.313480377197266,11.641850471496582,13.970220565795898,16.298590660095215,18.62696075439453,20.955330848693848,23.283700942993164,25.61207103729248,27.940441131591797,30.268811225891113,32.59718132019043,34.925551414489746,37.25392150878906,39.58229160308838,41.910661697387695,44.23903179168701,46.56740188598633,48.895771980285645,51.22414207458496,53.55251216888428,55.880882263183594,58.20925235748291,60.53762245178223,62.86599254608154,65.19436264038086,67.52273273468018,69.85110282897949,72.17947292327881,74.50784301757812,76.83621311187744,79.16458320617676,81.49295330047607,83.82132339477539,86.1496934890747,88.47806358337402,90.80643367767334,93.13480377197266,95.46317386627197,97.79154396057129,100.1199140548706,102.44828414916992,104.77665424346924,107.10502433776855,109.43339443206787,111.76176452636719,114.0901346206665,116.41850471496582,118.74687480926514,121.07524490356445,123.40361499786377,125.73198509216309,128.0603551864624,130.38872528076172,132.71709537506104,135.04546546936035,137.37383556365967,139.70220565795898,142.0305757522583,144.35894584655762,146.68731594085693,149.01568603515625]}"
"12","{""_type"":""histogram"",""values"":[8,16,55,141,355,774,1631,2891,4411,5917,7801,10000,11924,13490,14080,14300,14547,15222,16397,16545,16479,16069,16292,17159,18813,21391,23172,25239,26234,27278,28559,30376,32960,36648,41522,47138,53025,57151,59350,58397,54660,47652,40081,31553,23981,17055,11604,7639,4686,2800,1501,805,415,210,106,45,19,3,2,0,0,0,1,1],""bins"":[0,3.610097646713257,7.220195293426514,10.83029294013977,14.440390586853027,18.050488233566284,21.66058588027954,25.270683526992798,28.880781173706055,32.49087882041931,36.10097646713257,39.711074113845825,43.32117176055908,46.93126940727234,50.541367053985596,54.15146470069885,57.76156234741211,61.371659994125366,64.98175764083862,68.59185528755188,72.20195293426514,75.8120505809784,79.42214822769165,83.03224587440491,86.64234352111816,90.25244116783142,93.86253881454468,97.47263646125793,101.08273410797119,104.69283175468445,108.3029294013977,111.91302704811096,115.52312469482422,119.13322234153748,122.74331998825073,126.35341763496399,129.96351528167725,133.5736129283905,137.18371057510376,140.79380822181702,144.40390586853027,148.01400351524353,151.6241011619568,155.23419880867004,158.8442964553833,162.45439410209656,166.06449174880981,169.67458939552307,173.28468704223633,176.89478468894958,180.50488233566284,184.1149799823761,187.72507762908936,191.3351752758026,194.94527292251587,198.55537056922913,202.16546821594238,205.77556586265564,209.3856635093689,212.99576115608215,216.6058588027954,220.21595644950867,223.82605409622192,227.43615174293518,231.04624938964844]}"
"17","{""values"":[161,194,406,781,1515,2642,4480,7491,11476,17186,23939,32998,42153,52315,61109,69080,74856,77522,77946,74890,69776,62596,54723,46968,39179,31404,25159,19912,15607,12041,9337,7223,5461,4084,3057,2303,1706,1281,962,721,558,407,293,185,161,93,69,48,43,25,13,11,7,5,5,1,3,2,4,0,2,0,0,1],""_type"":""histogram"",""bins"":[0,1.7070540189743042,3.4141080379486084,5.121162056922913,6.828216075897217,8.535270094871521,10.242324113845825,11.94937813282013,13.656432151794434,15.363486170768738,17.070540189743042,18.777594208717346,20.48464822769165,22.191702246665955,23.89875626564026,25.605810284614563,27.312864303588867,29.01991832256317,30.726972341537476,32.43402636051178,34.141080379486084,35.84813439846039,37.55518841743469,39.262242436409,40.9692964553833,42.676350474357605,44.38340449333191,46.09045851230621,47.79751253128052,49.50456655025482,51.211620569229126,52.91867458820343,54.625728607177734,56.33278262615204,58.03983664512634,59.74689066410065,61.45394468307495,63.160998702049255,64.86805272102356,66.57510673999786,68.28216075897217,69.98921477794647,71.69626879692078,73.40332281589508,75.11037683486938,76.81743085384369,78.524484872818,80.2315388917923,81.9385929107666,83.6456469297409,85.35270094871521,87.05975496768951,88.76680898666382,90.47386300563812,92.18091702461243,93.88797104358673,95.59502506256104,97.30207908153534,99.00913310050964,100.71618711948395,102.42324113845825,104.13029515743256,105.83734917640686,107.54440319538116,109.25145721435547]}"
"22","{""_type"":""histogram"",""values"":[85,132,520,1551,3214,4317,4467,4483,4835,5219,6261,7784,9706,11346,12493,13166,13945,14222,14875,15674,16219,17330,18477,20245,22016,23600,24134,25049,25841,26864,27632,28283,29369,30517,31262,32479,33005,34345,35202,35908,36127,36733,36009,35434,33956,31614,28992,26058,22596,18693,15272,11887,9165,6756,4851,3180,2088,1356,747,462,271,122,74,61],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"27","{""values"":[7,18,49,144,320,615,1040,1432,1679,2100,2657,4032,6476,10732,15736,20627,25050,28359,29585,31458,34133,37448,40948,44154,46932,49696,51510,52876,52915,53740,52737,48781,44597,39543,34860,31401,27930,24699,21561,17406,13710,10619,7916,6040,4623,3504,2763,2186,1769,1393,1079,771,613,424,336,255,167,140,112,55,37,29,22,30],""_type"":""histogram"",""bins"":[53.68352508544922,56.829095244407654,59.97466540336609,63.120235562324524,66.26580572128296,69.4113758802414,72.55694603919983,75.70251619815826,78.8480863571167,81.99365651607513,85.13922667503357,88.284796833992,91.43036699295044,94.57593715190887,97.72150731086731,100.86707746982574,104.01264762878418,107.15821778774261,110.30378794670105,113.44935810565948,116.59492826461792,119.74049842357635,122.88606858253479,126.03163874149323,129.17720890045166,132.3227790594101,135.46834921836853,138.61391937732697,141.7594895362854,144.90505969524384,148.05062985420227,151.1962000131607,154.34177017211914,157.48734033107758,160.632910490036,163.77848064899445,166.92405080795288,170.06962096691132,173.21519112586975,176.3607612848282,179.50633144378662,182.65190160274506,185.7974717617035,188.94304192066193,192.08861207962036,195.2341822385788,198.37975239753723,201.52532255649567,204.6708927154541,207.81646287441254,210.96203303337097,214.1076031923294,217.25317335128784,220.39874351024628,223.5443136692047,226.68988382816315,229.83545398712158,232.98102414608002,236.12659430503845,239.2721644639969,242.41773462295532,245.56330478191376,248.7088749408722,251.85444509983063,255.00001525878906]}"
"32","{""values"":[1,0,3,15,82,404,1761,4709,8574,13792,19232,24275,30920,35653,39405,43899,46887,48447,48905,45721,39086,34983,33262,32847,34797,36639,36933,35039,33308,32409,30499,27144,22903,19926,18072,17237,16847,15840,14593,12812,11273,9892,8882,8248,7541,6941,6375,5927,5175,4440,3880,3195,2540,1878,1513,1048,714,476,316,191,126,61,36,47],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"37","{""values"":[113,165,384,826,1448,2176,2938,3647,4277,4784,5359,6048,6627,7310,8195,9298,10374,11988,13429,15604,17353,19341,21456,23515,25688,28061,30106,31824,33328,35112,36636,37663,38807,39501,39987,39830,39795,39125,38578,36954,35693,34173,31461,28999,26535,23795,20580,17607,14949,12108,9842,7547,5579,4112,2877,1957,1244,818,449,281,160,82,42,36],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"42","{""_type"":""histogram"",""values"":[162,541,2573,11327,27245,35226,39953,44128,43051,38362,33824,30792,30145,32307,33306,31993,29732,28972,29100,28157,26509,25092,23979,23501,23032,22409,21879,21697,21203,20731,19943,19492,18896,18201,17624,16872,15862,14856,13986,13046,12032,10928,10153,9512,8713,7640,6958,6286,5373,4614,3893,3252,2555,2029,1613,1117,818,577,327,211,118,77,37,37],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"47","{""_type"":""histogram"",""values"":[50,35,82,145,252,374,635,886,1168,1634,2273,2972,3776,4789,5485,5609,6060,6470,7165,7535,8353,8975,10004,10727,11844,13189,14409,15867,17326,19047,20802,22831,24875,26907,29542,32548,34772,37268,39896,42252,44920,46257,47774,47982,47903,46304,44287,41215,37254,32666,27516,23167,18421,13982,10268,7274,5007,3199,1963,1156,651,318,140,123],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
