"Step","shared_encoder_v2 - generated G distribution"
"2","{""_type"":""histogram"",""values"":[14,12,18,17,29,46,59,87,134,208,229,316,388,418,455,522,600,589,651,697,691,759,733,787,881,1128,2005,6343,19457,43563,76194,113689,142690,145023,130718,115257,94213,66247,39085,19733,8908,3844,1802,1103,936,802,831,758,724,723,672,566,544,451,412,281,218,128,87,40,24,12,6,19],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"7","{""_type"":""histogram"",""values"":[1,0,7,11,40,73,133,259,406,591,843,1084,1352,1502,1597,1643,1574,1554,1529,1636,1805,2193,2743,3449,4467,6225,8385,11227,14011,17702,21752,26292,30815,35439,39607,42916,45613,47060,48596,49088,50319,51107,50775,50691,49623,47882,45583,42373,38288,33805,28716,23694,19000,14392,10180,6880,4392,2618,1481,775,396,216,98,72],""bins"":[37.13818359375,40.542274713516235,43.94636583328247,47.350456953048706,50.75454807281494,54.15863919258118,57.56273031234741,60.96682143211365,64.37091255187988,67.77500367164612,71.17909479141235,74.58318591117859,77.98727703094482,81.39136815071106,84.7954592704773,88.19955039024353,91.60364151000977,95.007732629776,98.41182374954224,101.81591486930847,105.2200059890747,108.62409710884094,112.02818822860718,115.43227934837341,118.83637046813965,122.24046158790588,125.64455270767212,129.04864382743835,132.4527349472046,135.85682606697083,139.26091718673706,142.6650083065033,146.06909942626953,149.47319054603577,152.877281665802,156.28137278556824,159.68546390533447,163.0895550251007,166.49364614486694,169.89773726463318,173.3018283843994,176.70591950416565,180.11001062393188,183.51410174369812,186.91819286346436,190.3222839832306,193.72637510299683,197.13046622276306,200.5345573425293,203.93864846229553,207.34273958206177,210.746830701828,214.15092182159424,217.55501294136047,220.9591040611267,224.36319518089294,227.76728630065918,231.17137742042542,234.57546854019165,237.97955965995789,241.38365077972412,244.78774189949036,248.1918330192566,251.59592413902283,255.00001525878906]}"
"12","{""values"":[96,55,88,123,160,253,388,551,984,1649,2940,4971,8239,12834,18844,26494,34605,43049,52557,61007,68089,73321,76760,77687,76548,72154,66073,58927,50497,41834,33356,25799,19135,13348,9068,6036,3860,2318,1448,912,562,331,220,133,97,55,35,22,19,13,4,10,8,2,4,2,0,0,0,0,0,0,1,1],""_type"":""histogram"",""bins"":[0,2.962252378463745,5.92450475692749,8.886757135391235,11.84900951385498,14.811261892318726,17.77351427078247,20.735766649246216,23.69801902770996,26.660271406173706,29.62252378463745,32.584776163101196,35.54702854156494,38.50928092002869,41.47153329849243,44.43378567695618,47.39603805541992,50.35829043388367,53.32054281234741,56.28279519081116,59.2450475692749,62.20729994773865,65.16955232620239,68.13180470466614,71.09405708312988,74.05630946159363,77.01856184005737,79.98081421852112,82.94306659698486,85.90531897544861,88.86757135391235,91.8298237323761,94.79207611083984,97.75432848930359,100.71658086776733,103.67883324623108,106.64108562469482,109.60333800315857,112.56559038162231,115.52784276008606,118.4900951385498,121.45234751701355,124.4145998954773,127.37685227394104,130.33910465240479,133.30135703086853,136.26360940933228,139.22586178779602,142.18811416625977,145.1503665447235,148.11261892318726,151.074871301651,154.03712368011475,156.9993760585785,159.96162843704224,162.92388081550598,165.88613319396973,168.84838557243347,171.81063795089722,174.77289032936096,177.7351427078247,180.69739508628845,183.6596474647522,186.62189984321594,189.5841522216797]}"
"17","{""_type"":""histogram"",""values"":[1,0,0,0,4,1,12,38,139,362,963,2088,4151,6772,9547,12147,13949,15115,16413,18263,20020,23273,27333,32241,38114,44057,50592,55301,58147,57291,54954,51890,48068,45884,43786,41629,39038,36303,32491,28917,24530,20679,16603,13124,9957,7575,5639,4459,3595,2998,2404,2201,1777,1321,984,658,382,216,108,46,14,7,4,1],""bins"":[47.96577453613281,51.20068407058716,54.435593605041504,57.67050313949585,60.905412673950195,64.14032220840454,67.37523174285889,70.61014127731323,73.84505081176758,77.07996034622192,80.31486988067627,83.54977941513062,86.78468894958496,90.0195984840393,93.25450801849365,96.489417552948,99.72432708740234,102.95923662185669,106.19414615631104,109.42905569076538,112.66396522521973,115.89887475967407,119.13378429412842,122.36869382858276,125.60360336303711,128.83851289749146,132.0734224319458,135.30833196640015,138.5432415008545,141.77815103530884,145.01306056976318,148.24797010421753,151.48287963867188,154.71778917312622,157.95269870758057,161.1876082420349,164.42251777648926,167.6574273109436,170.89233684539795,174.1272463798523,177.36215591430664,180.597065448761,183.83197498321533,187.06688451766968,190.30179405212402,193.53670358657837,196.77161312103271,200.00652265548706,203.2414321899414,206.47634172439575,209.7112512588501,212.94616079330444,216.1810703277588,219.41597986221313,222.65088939666748,225.88579893112183,229.12070846557617,232.35561800003052,235.59052753448486,238.8254370689392,242.06034660339355,245.2952561378479,248.53016567230225,251.7650752067566,254.99998474121094]}"
"22","{""values"":[56,102,262,634,1382,2689,4577,6284,7696,9218,9921,10116,9691,9745,9946,10205,10556,10959,11729,12379,13137,14102,15259,16066,17486,18049,18978,19635,20933,21855,23294,24739,25674,26863,27544,27943,28408,28663,28622,28519,27862,27210,25995,25331,24655,24711,24552,25238,25665,27155,28669,30022,30816,29484,26951,22193,16513,10770,6069,3003,1219,392,121,64],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"27","{""values"":[156,167,354,727,1481,2750,4914,8514,13137,19881,28009,36831,44953,51626,57449,60906,62804,63868,63295,62643,61599,59336,56365,52238,47012,40818,34136,27750,21982,16370,12421,9028,6533,4867,3531,2636,1941,1419,1075,908,607,452,304,229,172,106,80,54,44,30,19,13,15,5,3,2,2,5,0,0,2,0,0,2],""_type"":""histogram"",""bins"":[0,2.968539237976074,5.937078475952148,8.905617713928223,11.874156951904297,14.842696189880371,17.811235427856445,20.77977466583252,23.748313903808594,26.716853141784668,29.685392379760742,32.653931617736816,35.62247085571289,38.591010093688965,41.55954933166504,44.52808856964111,47.49662780761719,50.46516704559326,53.433706283569336,56.40224552154541,59.370784759521484,62.33932399749756,65.30786323547363,68.2764024734497,71.24494171142578,74.21348094940186,77.18202018737793,80.150559425354,83.11909866333008,86.08763790130615,89.05617713928223,92.0247163772583,94.99325561523438,97.96179485321045,100.93033409118652,103.8988733291626,106.86741256713867,109.83595180511475,112.80449104309082,115.7730302810669,118.74156951904297,121.71010875701904,124.67864799499512,127.64718723297119,130.61572647094727,133.58426570892334,136.5528049468994,139.5213441848755,142.48988342285156,145.45842266082764,148.4269618988037,151.39550113677979,154.36404037475586,157.33257961273193,160.301118850708,163.26965808868408,166.23819732666016,169.20673656463623,172.1752758026123,175.14381504058838,178.11235427856445,181.08089351654053,184.0494327545166,187.01797199249268,189.98651123046875]}"
"32","{""values"":[116,237,636,1646,3921,8492,18760,35742,52712,63481,70613,70029,64929,59915,56788,54622,50604,45160,39684,35204,31193,27222,23609,20528,17881,16916,16167,15872,15521,14812,14180,12723,11138,9994,9306,8940,8300,7399,5972,4712,3591,3008,2688,2247,1921,1703,1491,1233,1075,926,762,579,453,316,279,176,123,104,72,44,45,25,17,22],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"37","{""_type"":""histogram"",""values"":[9,6,15,20,46,76,115,188,206,296,424,529,622,779,933,1186,1357,1617,1936,2130,2511,2937,3336,3950,4632,5428,6513,7636,9128,10900,12307,14425,16383,18594,20683,23182,25638,28090,30694,33355,36409,38812,40778,42290,43871,46225,46410,46686,45285,43652,43285,43801,45294,45069,42778,37277,29022,19510,11188,5296,1965,659,157,45],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"42","{""values"":[88,233,935,3321,8412,17204,27830,32400,31550,27944,23568,20460,18692,17802,17382,17569,17747,18124,18663,18724,18943,19206,19103,19194,19330,19175,19347,19427,19472,19222,19430,19506,19692,19802,19893,20321,20351,20801,20821,20101,19321,19036,18870,19040,18726,18722,18504,18344,18654,19014,19564,19539,19146,17936,16071,13158,9562,6467,3689,1935,897,385,144,67],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"47","{""_type"":""histogram"",""values"":[57,83,148,352,593,942,1355,1785,2079,2346,2556,2787,2968,3305,3484,3760,4246,4569,4975,5483,5981,6716,7411,8174,8917,9841,11139,12757,13956,15860,18589,21218,25046,30236,35200,38155,38973,39710,41742,43485,43371,44437,45779,46768,45644,43376,40339,36787,32658,28470,25447,24291,23961,22852,20374,16110,11614,7575,4271,2035,946,336,117,39],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
