"Step","shared_encoder_v2 - generated R distribution"
"2","{""values"":[69,28,39,60,87,153,196,260,319,368,445,505,509,595,647,614,640,697,686,730,696,677,629,649,704,954,1554,3905,11413,32007,73770,127522,163977,168623,152752,123544,85281,47641,21662,7888,2720,1286,812,675,688,686,678,626,635,628,682,626,640,569,569,547,498,400,334,268,204,133,83,94],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"7","{""_type"":""histogram"",""values"":[2,0,0,1,2,9,14,43,77,187,285,500,677,953,1412,1821,2400,3351,4756,6471,8818,11956,15942,20263,25392,30706,36933,42638,48460,53620,57203,60322,62035,61774,60757,57956,53908,49646,45503,40063,34919,29676,25230,21000,16765,13268,10533,8094,6088,4560,3366,2504,1771,1262,872,533,433,291,197,134,83,54,37,50],""bins"":[97.83311462402344,100.28884744644165,102.74458026885986,105.20031309127808,107.65604591369629,110.1117787361145,112.56751155853271,115.02324438095093,117.47897720336914,119.93471002578735,122.39044284820557,124.84617567062378,127.30190849304199,129.7576413154602,132.21337413787842,134.66910696029663,137.12483978271484,139.58057260513306,142.03630542755127,144.49203824996948,146.9477710723877,149.4035038948059,151.85923671722412,154.31496953964233,156.77070236206055,159.22643518447876,161.68216800689697,164.13790082931519,166.5936336517334,169.0493664741516,171.50509929656982,173.96083211898804,176.41656494140625,178.87229776382446,181.32803058624268,183.7837634086609,186.2394962310791,188.69522905349731,191.15096187591553,193.60669469833374,196.06242752075195,198.51816034317017,200.97389316558838,203.4296259880066,205.8853588104248,208.34109163284302,210.79682445526123,213.25255727767944,215.70829010009766,218.16402292251587,220.61975574493408,223.0754885673523,225.5312213897705,227.98695421218872,230.44268703460693,232.89841985702515,235.35415267944336,237.80988550186157,240.26561832427979,242.721351146698,245.1770839691162,247.63281679153442,250.08854961395264,252.54428243637085,255.00001525878906]}"
"12","{""values"":[3,5,9,22,33,61,100,199,309,394,542,861,1158,1489,2214,2971,3820,5171,6322,7628,8853,9881,10874,11836,12992,14316,15833,18092,20933,23417,27578,31734,36804,42498,48485,53835,59092,62623,65120,65475,63650,59094,53566,46256,39109,31308,24376,18271,12914,9230,6207,3956,2499,1623,1045,653,422,251,177,136,75,53,30,93],""_type"":""histogram"",""bins"":[88.68109130859375,91.27982473373413,93.87855815887451,96.47729158401489,99.07602500915527,101.67475843429565,104.27349185943604,106.87222528457642,109.4709587097168,112.06969213485718,114.66842555999756,117.26715898513794,119.86589241027832,122.4646258354187,125.06335926055908,127.66209268569946,130.26082611083984,132.85955953598022,135.4582929611206,138.057026386261,140.65575981140137,143.25449323654175,145.85322666168213,148.4519600868225,151.0506935119629,153.64942693710327,156.24816036224365,158.84689378738403,161.4456272125244,164.0443606376648,166.64309406280518,169.24182748794556,171.84056091308594,174.43929433822632,177.0380277633667,179.63676118850708,182.23549461364746,184.83422803878784,187.43296146392822,190.0316948890686,192.63042831420898,195.22916173934937,197.82789516448975,200.42662858963013,203.0253620147705,205.6240954399109,208.22282886505127,210.82156229019165,213.42029571533203,216.0190291404724,218.6177625656128,221.21649599075317,223.81522941589355,226.41396284103394,229.01269626617432,231.6114296913147,234.21016311645508,236.80889654159546,239.40762996673584,242.00636339187622,244.6050968170166,247.20383024215698,249.80256366729736,252.40129709243774,255.00003051757812]}"
"17","{""_type"":""histogram"",""values"":[1,0,3,6,9,4,15,14,29,46,65,84,144,256,332,454,659,909,1233,1710,2258,2908,3869,4909,6197,7811,9661,11851,14446,17616,20926,24818,28817,32960,37770,42558,47000,51113,54668,57650,59154,59831,58945,57175,54224,49448,44708,38920,33124,27057,22115,17025,12872,9318,6560,4577,2964,1964,1202,728,389,227,133,137],""bins"":[133.5545196533203,135.45210552215576,137.3496913909912,139.24727725982666,141.1448631286621,143.04244899749756,144.940034866333,146.83762073516846,148.7352066040039,150.63279247283936,152.5303783416748,154.42796421051025,156.3255500793457,158.22313594818115,160.1207218170166,162.01830768585205,163.9158935546875,165.81347942352295,167.7110652923584,169.60865116119385,171.5062370300293,173.40382289886475,175.3014087677002,177.19899463653564,179.0965805053711,180.99416637420654,182.891752243042,184.78933811187744,186.6869239807129,188.58450984954834,190.4820957183838,192.37968158721924,194.2772674560547,196.17485332489014,198.0724391937256,199.97002506256104,201.86761093139648,203.76519680023193,205.66278266906738,207.56036853790283,209.45795440673828,211.35554027557373,213.25312614440918,215.15071201324463,217.04829788208008,218.94588375091553,220.84346961975098,222.74105548858643,224.63864135742188,226.53622722625732,228.43381309509277,230.33139896392822,232.22898483276367,234.12657070159912,236.02415657043457,237.92174243927002,239.81932830810547,241.71691417694092,243.61450004577637,245.51208591461182,247.40967178344727,249.30725765228271,251.20484352111816,253.1024293899536,255.00001525878906]}"
"22","{""_type"":""histogram"",""values"":[13,14,17,42,71,160,255,463,783,1265,1955,2859,4012,5062,6589,7761,8823,9536,10492,11168,11663,12506,13448,14788,16237,17369,19344,21052,22806,24671,26180,28638,32113,36974,43314,48832,52402,53837,52758,50518,48106,44640,41272,38113,35032,31223,26365,21079,15849,11375,8787,8081,8413,9506,9605,8658,6247,3382,1390,428,164,29,18,24],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"27","{""values"":[3,3,5,18,32,52,102,145,229,358,527,849,1533,2574,4176,6331,9261,12570,16226,20414,25517,30387,35735,39297,43368,45698,48040,49003,49953,50630,50906,50759,49619,48028,45551,42675,39934,36750,33692,30124,27176,23219,19690,15824,12336,9034,6429,4392,2883,1988,1358,892,644,449,324,238,168,136,87,63,53,35,27,57],""_type"":""histogram"",""bins"":[53.2918586730957,56.44354861974716,59.59523856639862,62.74692851305008,65.89861845970154,69.050308406353,72.20199835300446,75.35368829965591,78.50537824630737,81.65706819295883,84.80875813961029,87.96044808626175,91.11213803291321,94.26382797956467,97.41551792621613,100.56720787286758,103.71889781951904,106.8705877661705,110.02227771282196,113.17396765947342,116.32565760612488,119.47734755277634,122.6290374994278,125.78072744607925,128.9324173927307,132.08410733938217,135.23579728603363,138.3874872326851,141.53917717933655,144.690867125988,147.84255707263947,150.99424701929092,154.14593696594238,157.29762691259384,160.4493168592453,163.60100680589676,166.75269675254822,169.90438669919968,173.05607664585114,176.2077665925026,179.35945653915405,182.5111464858055,185.66283643245697,188.81452637910843,191.9662163257599,195.11790627241135,198.2695962190628,201.42128616571426,204.57297611236572,207.72466605901718,210.87635600566864,214.0280459523201,217.17973589897156,220.33142584562302,223.48311579227448,226.63480573892593,229.7864956855774,232.93818563222885,236.0898755788803,239.24156552553177,242.39325547218323,245.5449454188347,248.69663536548615,251.8483253121376,255.00001525878906]}"
"32","{""_type"":""histogram"",""values"":[83,145,377,929,2461,5997,13669,25838,40759,52200,56177,55979,52095,47655,46178,46585,47307,47132,45275,40834,35692,31401,29312,28997,30432,32050,31409,29094,25503,22454,19074,16017,13121,11334,10119,9179,8349,7528,6674,5531,4252,3357,2622,2001,1542,1133,741,531,387,272,171,128,97,99,70,47,52,28,19,17,9,12,11,33],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"37","{""values"":[1,0,4,2,6,2,6,13,28,22,56,69,80,116,166,209,312,327,389,500,588,731,828,993,1167,1408,1598,1924,2424,2800,3347,4146,4798,5713,6795,8308,9781,11904,14376,17252,19741,22825,26462,30560,35070,41197,47333,53489,58879,63784,67424,70555,72641,74439,72673,65115,52300,35354,20420,9563,3788,1276,371,128],""_type"":""histogram"",""bins"":[27.991302490234375,31.538313627243042,35.08532476425171,38.632335901260376,42.17934703826904,45.72635817527771,49.27336931228638,52.820380449295044,56.36739158630371,59.91440272331238,63.461413860321045,67.00842499732971,70.55543613433838,74.10244727134705,77.64945840835571,81.19646954536438,84.74348068237305,88.29049181938171,91.83750295639038,95.38451409339905,98.93152523040771,102.47853636741638,106.02554750442505,109.57255864143372,113.11956977844238,116.66658091545105,120.21359205245972,123.76060318946838,127.30761432647705,130.85462546348572,134.40163660049438,137.94864773750305,141.49565887451172,145.04267001152039,148.58968114852905,152.13669228553772,155.6837034225464,159.23071455955505,162.77772569656372,166.3247368335724,169.87174797058105,173.41875910758972,176.9657702445984,180.51278138160706,184.05979251861572,187.6068036556244,191.15381479263306,194.70082592964172,198.2478370666504,201.79484820365906,205.34185934066772,208.8888704776764,212.43588161468506,215.98289275169373,219.5299038887024,223.07691502571106,226.62392616271973,230.1709372997284,233.71794843673706,237.26495957374573,240.8119707107544,244.35898184776306,247.90599298477173,251.4530041217804,255.00001525878906]}"
"42","{""values"":[8,24,109,286,712,1414,2902,5594,9928,14545,17603,20128,23818,28111,31905,32876,32521,31524,30784,29697,28298,27170,26028,25070,24690,23986,23633,23424,22970,22586,22521,22213,22116,22370,22238,22190,22017,22139,22069,21603,21569,21684,21879,21916,22136,21967,21570,20432,18709,16720,14429,12561,9991,7222,4661,2851,1744,1100,636,471,251,146,65,46],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"47","{""values"":[31,20,46,71,127,205,310,478,727,1051,1450,1941,2388,2940,3453,4020,4544,5243,6142,6854,8072,9215,10595,12237,14128,16636,19346,22934,27669,32691,38208,44151,48389,52215,54901,57587,59050,59563,57881,55419,53001,50091,45573,40716,34036,26316,19369,13710,9319,5891,3469,1943,1060,521,284,163,99,41,23,13,5,4,0,1],""_type"":""histogram"",""bins"":[0,3.8491933345794678,7.6983866691589355,11.547580003738403,15.396773338317871,19.24596667289734,23.095160007476807,26.944353342056274,30.793546676635742,34.64274001121521,38.49193334579468,42.341126680374146,46.19032001495361,50.03951334953308,53.88870668411255,57.73790001869202,61.587093353271484,65.43628668785095,69.28548002243042,73.13467335700989,76.98386669158936,80.83306002616882,84.68225336074829,88.53144669532776,92.38064002990723,96.2298333644867,100.07902669906616,103.92822003364563,107.7774133682251,111.62660670280457,115.47580003738403,119.3249933719635,123.17418670654297,127.02338004112244,130.8725733757019,134.72176671028137,138.57096004486084,142.4201533794403,146.26934671401978,150.11854004859924,153.9677333831787,157.81692671775818,161.66612005233765,165.51531338691711,169.36450672149658,173.21370005607605,177.06289339065552,180.91208672523499,184.76128005981445,188.61047339439392,192.4596667289734,196.30886006355286,200.15805339813232,204.0072467327118,207.85644006729126,211.70563340187073,215.5548267364502,219.40402007102966,223.25321340560913,227.1024067401886,230.95160007476807,234.80079340934753,238.649986743927,242.49918007850647,246.34837341308594]}"
